Epoch,Generator_Loss,Discriminator_Loss,Discriminator_Accuracy
353,3.5640588,0.30990255,0.9433296
354,2.8003933,0.40114293,0.92662084
355,3.7427616,0.4756697,0.90580934
356,4.9169054,0.48477617,0.9059463
357,4.455345,0.45707804,0.92198217
358,5.4159102,0.3279084,0.94316286
359,5.0788636,0.4778289,0.92038035
360,4.068618,0.73809236,0.8699505
361,6.062461,0.34818175,0.93760717
362,6.9069147,0.46647787,0.926728
363,4.3093095,0.58956456,0.897187
364,5.230647,0.56369656,0.9099002
365,4.157223,0.72335047,0.8737793
366,5.67912,0.15250964,0.9741211
367,4.393989,0.83672017,0.83655083
368,5.26247,0.3446438,0.9347549
369,7.088847,0.4892596,0.9304199
370,5.4223537,0.58572483,0.8998428
371,3.488558,0.40669584,0.92247045
372,3.474188,0.2921624,0.95477444
373,3.5917573,0.38081458,0.9329685
374,3.6625369,0.48728186,0.90649414
375,5.496675,0.4923162,0.91204983
376,6.557324,1.0993764,0.8502227
377,4.5441895,0.72612053,0.8635433
378,4.058552,0.48196572,0.92105323
379,5.521416,0.42061758,0.92669827
380,6.50759,0.5662695,0.9131038
381,4.6249065,0.49376506,0.9293064
382,4.4437633,0.505669,0.9147949
383,4.011161,0.5682032,0.9036419
384,3.8255546,0.38779965,0.9316108
385,3.9388568,0.3962596,0.9252334
386,3.2775562,0.46232373,0.91316336
387,3.7579458,0.28370076,0.9537681
388,2.8783166,0.64242554,0.8970977
389,4.738703,0.43153918,0.92097586
390,4.560513,0.3007293,0.9442764
391,4.2656045,0.72960323,0.88850516
392,5.59473,0.21225771,0.9615032
393,7.3541584,0.6952792,0.8996761
394,8.66048,0.6315964,0.918981
395,4.552286,0.67406756,0.92417943
396,3.6570575,0.5447081,0.909531
397,3.456104,0.30287734,0.94677734
398,3.969897,0.43486696,0.9192966
399,6.0141454,0.3106098,0.94156104
400,4.0739017,0.5223945,0.90927494
401,3.008942,0.6619388,0.8710342
402,3.5975015,0.3489705,0.93252784
403,3.76549,0.5555965,0.8939834
404,3.8560405,0.4459549,0.91954076
405,4.531592,0.36125582,0.9345882
406,4.3953123,0.43492272,0.91766506
407,3.1552038,0.29446346,0.9562095
408,3.6120913,0.3622352,0.93782157
409,4.2623873,0.3029634,0.9475574
410,3.896565,0.4089806,0.93199193
411,3.7673442,0.57988054,0.89433473
412,2.938726,0.64137965,0.87097466
413,4.1271315,0.30373716,0.9371963
414,3.8557682,0.54537827,0.9150867
415,4.534587,0.34750512,0.94696194
416,3.4792259,0.4769116,0.9122046
417,3.5027144,0.5345642,0.89401317
418,3.6963217,0.498245,0.90423733
419,4.5706663,0.27188143,0.9495403
420,4.622564,0.79759073,0.87022436
421,6.2224746,1.5370914,0.8135242
422,9.1675625,0.98444134,0.8718738
423,6.644577,0.607946,0.9265137
424,5.101339,0.51747686,0.9170398
425,5.597393,0.45076331,0.92821074
426,4.8752375,1.1096109,0.85985136
427,3.4973347,0.40603963,0.93638647
428,3.719979,0.30734318,0.94441336
429,4.074639,0.31982204,0.94308543
430,3.6232183,0.41231614,0.9211128
431,3.2995944,0.5764788,0.88087726
432,3.5815177,0.32607305,0.93901247
433,4.293367,0.34315896,0.9306045
434,3.9311616,0.411668,0.92596585
435,3.3517628,0.6956926,0.8913276
436,3.4589834,0.40231636,0.9324207
437,5.4134917,0.4864046,0.9211128
438,8.182994,0.81757945,0.89732397
439,9.258245,0.6966365,0.92097586
440,5.966788,0.6203477,0.90458864
441,4.1967425,0.43075374,0.92151177
442,3.8358414,0.433261,0.9158489
443,4.0928183,0.33612412,0.9369522
